Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
When Tesla attempted to photograph Mark Twain  what was the only thing that showed up on the image?,metal locking screw,0,1,the metal locking screw on the camera lens : the metal locking screw : the metal locking screw on the camera lens,,,,,,,,,,,,,,,,,,,,,,,,
When die Tesla turn his attention to trying to understand invisible radiant energy?,1894,1,1,1894 : 1894 : 1894,,,,,,,,,,,,,,,,,,,,,,,,
What is this invisible radiant energy now known as?,"Roentgen rays"" or ""X-Rays""",0,1,"X-Rays : x-rays : ""Roentgen rays"" or ""X-Rays""",,,,,,,,,,,,,,,,,,,,,,,,
What happened to most of Tesla's work from this time?,"hundreds of invention models  plans  notes  laboratory data  tools  photographs  valued at $50 000â€”was lost in the 5th Avenue laboratory fire of March 1895. Tesla is quoted by The New York Times as saying  ""I am in too much grief to talk. What can I say?"" Tesla may have inadvertently captured an X-ray image",0,0,lost in the 5th Avenue laboratory fire of March 1895 : was lost : was lost in the 5th Avenue laboratory fire of March 1895,,,,,,,,,,,,,,,,,,,,,,,,
What type of image was Tesla thought to have accidentally taken a week prior to the announcement of its discovery?,X-ray,1,1,X-ray image : X-ray : X-ray image,,,,,,,,,,,,,,,,,,,,,,,,
Who was Tesla trying to photograph when he accidentally took the X-Ray image?,Mark Twain,1,1,Mark Twain : Mark Twain : Mark Twain,,,,,,,,,,,,,,,,,,,,,,,,
What did Tesla begin to research in March 1896?,a high energy single terminal vacuum tube of his own design that had no target electrode and that worked from the output of the Tesla Coil (the modern term for the phenomenon produced by this device is bremsstrahlung or braking radiation). In his research  Tesla devised several experimental setups to produce X-rays,0,0,X-ray imaging : X-ray imaging : X-ray imaging,,,,,,,,,,,,,,,,,,,,,,,,
when did tesla begin researching x-ray imaging?,March 1896,1,1,March 1896 : In March 1896 : March 1896,,,,,,,,,,,,,,,,,,,,,,,,
What is another term for x-ray imaging?,radiography,1,1,radiography : braking radiation : radiography,,,,,,,,,,,,,,,,,,,,,,,,
What did Tesla design several experimental setups to produce? ,X-rays,1,1,X-rays : X-rays : X-rays,,,,,,,,,,,,,,,,,,,,,,,,
What did Tesla's device work from the output of?,Tesla Coil,1,1,Tesla Coil : the Tesla Coil : Tesla Coil,,,,,,,,,,,,,,,,,,,,,,,,
When did Tesla start deliberately experimenting with X-ray imaging?,March 1896,1,1,1896 : In March 1896 : March 1896,,,,,,,,,,,,,,,,,,,,,,,,
What powered Tesla's high energy terminal vacuum tube?,Tesla Coil,1,1,Tesla Coil : Tesla Coil : Tesla Coil,,,,,,,,,,,,,,,,,,,,,,,,
What were X-rays known as at the time?,X-ray and X-ray imaging,0,0,Roentgen rays : Roentgen rays : Roentgen rays,,,,,,,,,,,,,,,,,,,,,,,,
What did tesla incorrectly believe about x-rays?,X-rays were longitudinal waves,1,1,X-rays were longitudinal waves : were longitudinal waves : that X-rays were longitudinal waves, such as those produced in waves in plasmas.,,,,,,,,,,,,,,,,,,,,,,,
what did tesla attribute skin damage to?,various causes,0,0,damage to the skin was not caused by the Roentgen rays, but by the ozone generated in contact with the skin : ozone generated in contact with the skin : the ozone generated in contact with the skin, and to a lesser extent, by nitrous acid,,,,,,,,,,,,,,,,,,,,,
what did Tesla think nitrous acid contributed to? ,hazards of working with his circuit and single-node X-ray-producing devices. In his many notes on the early investigation of this phenomenon  he attributed the skin damage to various causes. He believed early on that damage to the skin was not caused by the Roentgen rays  but by the ozone generated in contact with the skin  and to a lesser extent  by nitrous acid. Tesla incorrectly believed that X-rays were longitudinal waves,0,0,skin damage : damage to the skin : damage to the skin,,,,,,,,,,,,,,,,,,,,,,,,
what did tesla note the hazards of working with? ,his circuit and single-node X-ray-producing devices,1,1,his circuit and single-node X-ray-producing devices : X-ray-producing devices : circuit and single-node X-ray-producing devices,,,,,,,,,,,,,,,,,,,,,,,,
where do plasma waves occur? ,force-free magnetic fields,1,1,force-free magnetic fields : force-free magnetic fields : in force-free magnetic fields,,,,,,,,,,,,,,,,,,,,,,,,
At first what did Tesla think was the main cause of damage to skin cells when they were exposed to X-rays?,Roentgen rays,0,0,ozone generated in contact with the skin : ozone generated in contact with the skin : the ozone generated in contact with the skin, and to a lesser extent, by nitrous acid.,,,,,,,,,,,,,,,,,,,,,,
What did Tesla mistakenly believe X-rays were?,longitudinal waves,1,1,longitudinal waves : longitudinal waves : longitudinal waves, such as those produced in waves in plasmas,,,,,,,,,,,,,,,,,,,,,,,
Where are longitudinal waves found?,plasmas,0,1,force-free magnetic fields : waves in plasmas : in force-free magnetic fields,,,,,,,,,,,,,,,,,,,,,,,,
Where can Tesla's theories as to what caused the skin damage be found?,Roentgen rays,0,0,In his many notes : In his many notes,,,,,,,,,,,,,,,,,,,,,,,,
Which engineer made the induction motor more efficient?,Benjamin Lamme,1,1,Benjamin Lamme : Benjamin Lamme : Benjamin Lamme,,,,,,,,,,,,,,,,,,,,,,,,
In which year did Benjamin Lamme achieve success making the motor more efficient?,1893,1,1,1893 : 1893 : 1893,,,,,,,,,,,,,,,,,,,,,,,,
"Who called their system the ""Tesla Polyphase System""?",Benjamin Lamme,0,0,Westinghouse Electric : Westinghouse Electric : Westinghouse Electric,,,,,,,,,,,,,,,,,,,,,,,,
What was Tesla's device called?,Egg of Columbus,1,1,Egg of Columbus : the Egg of Columbus : Egg of Columbus,,,,,,,,,,,,,,,,,,,,,,,,
Who demonstrated the Egg of Columbus?,Tesla,1,1,Tesla : Tesla : Tesla,,,,,,,,,,,,,,,,,,,,,,,,
When did the Herald Tribune publish its Tesla article?,11-Jul-34,1,1,1934 : On 11 July 1934 : 11 July 1934,,,,,,,,,,,,,,,,,,,,,,,,
What did the particle do to Tesla?,pass out of the tube  and physically strike him,0,0,physically strike him : physically strike him : physically strike him,,,,,,,,,,,,,,,,,,,,,,,,
How did Tesla know he was being struck by the particle?,"pass out of the tube  and physically strike him. ""Tesla said he could feel a sharp stinging pain",0,0,he could feel a sharp stinging pain where it entered his body : he could feel a sharp stinging pain : he could feel a sharp stinging pain,,,,,,,,,,,,,,,,,,,,,,,,
What other projectiles did Tesla compare the electric particles to?,"metal projected by his ""electric gun "" Tesla said  ""The particles in the beam of force",0,0,"bits of metal : bits of metal : bits of metal projected by his ""electric gun","What association did Tesla demonstrate his radio wave theories to?,National Electric Light Association,1,1,National Electric Light Association : possibility of the transmission : National Electric Light AssociationWhich of Tesla's inventions was used in radio development?,Tesla Coil,1,1,Tesla Coil : the Tesla Coil : Tesla CoilWhat Philadelphia institution did Tesla give a demonstration to?,Franklin Institute,1,1,the Franklin Institute : the Franklin Institute : Franklin InstituteWhen did Tesla give a demonstration of his remote control boat?,1898,1,1,1898 : In 1898, : 1898What was the boat called?,teleautomaton,1,1,teleautomaton : teleautomaton : teleautomatonWhere was the boat demonstration given?,Madison Square Garden,1,1,Madison Square Garden : Madison Square Garden : Madison Square GardenWhat was the occasion for the boat demonstration?,made outrageous claims about the workings of the boat,0,0,an electrical exhibition : an electrical exhibition : an electrical exhibitionWhat type of animal did onlookers claim was piloting the boat?,monkey,1,1,monkey : monkey : a trained monkeyWhen did Tesla attain his electrical transmitter patent?,1900,1,1,1900 : 1900 : 1900Who first sent radio waves across the Atlantic?,Guglielmo Marconi,1,1,Marconi : Guglielmo Marconi : Guglielmo MarconiWhen was Marconi's radio demonstration?,1901,1,1,1901 : 1901 : 1901When were Tesla's patents restored?,1903,0,0,1943 : 1943 : 1943A decision made by what entity restored Tesla's patents?,Supreme Court of the United States,1,1,Supreme Court of the United States : Supreme Court of the United States : Supreme Court of the United StatesIn what year did Tesla go to Colorado Springs?,1899,1,1,1899 : 1899 : 1899 Where did he claim he would transport energy to?,Colorado Springs,0,0,Paris : Paris : Pikes Peak to ParisWhat date did Tesla begin his Colorado Springs experiments?,15 June 1899,1,1,15 June 1899 : 15 June 1899 : 15 June 1899What was the recorded length of the first spark?,five inches long,0,0,five inches : five inches : five inchesWhat kind of electricity was Tesla investigating?,atmospheric,1,1,atmospheric : atmospheric : atmospheric electricityWhat sort of waves did he claim to observe?,stationary waves,1,1,stationary : stationary : stationary wavesWhat was Tesla's idea regarding Earth?,a resonant frequency,0,1,that the earth had a resonant frequency. : the earth had a resonant frequency : earth had a resonant frequencyWhat natural phenomenon did Tesla create artificially? ,lightning,1,1,lightning : lightning : lightningHow big were his artificial bolts?,millions of volts and up to 135 feet long,0,1,135 feet : 135 feet long : consisting of millions of volts and up to 135 feet longFrom what distance could the artificial thunder be heard.,15 miles,1,1,15 miles : 15 miles : 15 miles awayWhat happened to nearby light bulbs?,100 feet of the lab glowed even when turned off,0,0,glowed even when turned off : glowed : glowed even when turned offWhat was notable about the butterflies?,electrified,1,1,Butterflies were electrified : electrified : electrified, swirling in circles with blue halos of St. Elmo's fire around their wingsWhat did Tesla accidentally cause?,a power outage,1,1,power outage : a power outage : power outageWhat happened to the dynamos in the power station?,repeatedly burned out,1,1,repeatedly burned out : repeatedly burned out : repeatedly burned outWhat caused the dynamos to be burnt out?,powerful high frequency currents,1,1,powerful high frequency currents : powerful high frequency currents : powerful high frequency currentsWhat did the sparks do to the insulation?,destroy,1,1,destroy : destroy : jump through the windings and destroy the insulationTo what did Tesla attribute the unknown signals his radio received?,wireless transmission,0,0,communications from another planet : communications from another planet : communications from another planetWhat planet did the reporters decide the signals were from?,Mars  Venus,0,0,Mars : Mars : MarsWhat magazine did Tesla talk to about the strange signals?,Mars,0,0,Collier's Weekly : Collier's Weekly : Collier's WeeklyWhat is another possible explanation for the source of the signals?,he may have intercepted Marconi's European experiments,1,1,intercepted Marconi's European experiments : he may have intercepted Marconi's European experiments : he may have intercepted Marconi's European experiments in July 1899When did Marconi transmit similar signals to those Tesla received?,9 February 1901,0,0,July 1899 : July 1899 : July 1899How much money did John Jacob Astor IV provide Tesla with?,$100 000,1,1,$100,000 : $100,000 : $100,000What did Astor expect the money be used for?,fund his Colorado Springs experiments,0,0,for Tesla to further develop and produce a new lighting system : a new lighting system : develop and produce a new lighting systemWhat did Tesla spend Astor's money on?,Colorado Springs experiments,0,1,to fund his Colorado Springs experiments. : his Colorado Springs experiments : fund his Colorado Springs experimentsWhen did Astor provide the money?,1899,1,1,1899 : In 1899 : 1899When did Tesla depart from Colorado Springs?,7 January 1900,1,1,1900 : On 7 January 1900 : 7 January 1900What happened to his lab?,torn down,1,1,His lab was torn down : torn down : torn down in 1904When was his lab destroyed?,1904,1,1,1904 : 1904 : 1904What happened to the things inside the lab after it was torn down?,its contents were sold two years later to satisfy a debt,0,0,sold : sold : sold two years laterWhat did Tesla establish following his Colorado experiments?,trans-Atlantic wireless telecommunications facility,0,0,Wardenclyffe : Wardenclyffe : WardenclyffeWhat kind of facility was Wardenclyffe?,trans-Atlantic wireless telecommunications,1,1,trans-Atlantic wireless telecommunications facility : trans-Atlantic wireless telecommunications : trans-Atlantic wireless telecommunicationsWhere was Wardenclyffe located?,Shoreham,0,1,near Shoreham, Long Island : Long Island : near Shoreham, Long IslandWho did Tesla try to get money from?,Morgan  but it was also fruitless. Morgan still owed Tesla money on the original agreement,0,0,Morgan : Morgan : MorganOn what did Tesla blame for the loss of the initial money?,the original agreement,0,0,Panic of 1901 : the Panic of 1901 : the Panic of 1901How did Morgan react to the request?,by the reminder of his part in the stock market crash,0,1,shocked : shocked : shocked by the reminder of his part in the stock market crash and by Tesla's breach of contractHow much correspondence did Tesla send Morgan in the five years following 1901?,over 50,0,1,over 50 letters : over 50 letters : 50 lettersWhy did Tesla want funds from Morgan?,to complete the construction of Wardenclyffe,1,1,to complete the construction of Wardenclyffe. : to complete the construction of Wardenclyffe : to complete the construction of WardenclyffeWhat happened in 1901?,Marconi successfully transmitted the letter S from England to Newfoundland,1,1,Marconi successfully transmitted the letter S from England to Newfoundland : Marconi successfully transmitted the letter S from England to Newfoundland : Marconi successfully transmitted the letter S from England to NewfoundlandHow tall was the tower's ultimate height?,187 feet,1,1,187 feet : 187 feet : 187 feet (57 m)How many horsepower did Tesla's bladeless turbine have?,16 000,0,0,200 : 200 : 200At what speed did the turbine operate?,200 horsepower (150 kilowatts) 16 000 rpm,0,0,16,000 rpm : 16,000 rpm : 16,000 rpmWhen did Tesla first show off the turbine?,1906,1,1,1906 : 1910â€“1911 : his 50th birthday in 1906What was the horsepower put out by the turbines in Waterside Power Station,100â€“5 000 hp,1,1,100â€“5,000 hp : 100â€“5,000 : 100â€“5,000How was Tesla's mechanical oscillator powered?,steam-powered mechanical oscillatorâ€”Tesla's oscillator. While experimenting with mechanical oscillators at his Houston Street lab  Tesla allegedly generated a resonance of several buildings,0,0,steam : steam : steam-poweredWhere did he work on the oscillators?,Houston Street lab,1,1,Houston Street lab : his Houston Street lab : his Houston Street labWhat unforeseen problem caused Tesla to hit his experiment with a sledgehammer? ,sledge hammer,0,0,the machine oscillated at the resonance frequency of his own building : the danger : the machine oscillated at the resonance frequency of his own buildingWhat publication published an article about Tesla in 1912?,World Today,1,1,World Today : World Today : World TodayWhat did Tesla claim his resonant frequencies could do in the World Today article?,set the earth's crust,0,1,eventually split the earth in two : destroy civilization : he could set the earth's crust into such a state of vibration that it would rise and fall hundreds of feet and practically destroy civilizationWhat did Tesla think could improve the brain's intelligence?,electricity,0,1,application of electricity : application of electricity to the brain : the application of electricityWhat was Tesla's plan to make students bright""?",a plan to make dull students bright by saturating them unconsciously with electricity,0,0,saturating them unconsciously with electricity : saturating them unconsciously with electricity : saturating them unconsciously with electricity,,,,,,,,,,,,,,,,,,,
Who approved of this plan?,William H. Maxwell,1,1,William H. Maxwell : William H. Maxwell : William H. Maxwell,,,,,,,,,,,,,,,,,,,,,,,,
What was Maxwell's job?,superintendent of New York City schools,1,1,superintendent of New York City schools : superintendent of New York City schools : superintendent of New York City schools,,,,,,,,,,,,,,,,,,,,,,,,
Where did Tesla look for investors prior to WWI?,European countries,0,0,overseas : overseas : overseas,,,,,,,,,,,,,,,,,,,,,,,,
What happened to Tesla's funding once the war begun?,he was receiving from his patents in European countries,0,0,lost : lost : lost the funding,,,,,,,,,,,,,,,,,,,,,,,,
What did he do with Wardenclyffe?,$20 000 ($472 500 in today's dollars,0,0,sold : sold : sold,,,,,,,,,,,,,,,,,,,,,,,,
How much did Tesla receive from the sale of Wardenclyffe?,$20 000,1,1,$20 ,000 : $20,000 : $20,0,,,,,,,,,,,,,,,,,,,,,
What award was given to Tesla?,Edison Medal,0,1,the Edison Medal. : the Edison Medal : the Edison Medal.,,,,,,,,,,,,,,,,,,,,,,,,
In what magazine did Tesla talk about reflecting electricity off of submarine's hulls?,Electrical Experimenter,1,1,Electrical Experimenter : Electrical Experimenter : Electrical Experimenter,,,,,,,,,,,,,,,,,,,,,,,,
How would the operator of observe the reflected signal?,,0,1,fluorescent screen : fluorescent screen : with the signal being viewed on a fluorescent screen,,,,,,,,,,,,,,,,,,,,,,,,
What later invention was Tesla's idea similar to?,high frequency radio waves would penetrate water,0,0,radar : radar : modern radar,,,,,,,,,,,,,,,,,,,,,,,,
Who played a part in the development of radar in France?,Ã‰mile Girardeau,1,1,Ã‰mile Girardeau : Ã‰mile Girardeau : Ã‰mile Girardeau,,,,,,,,,,,,,,,,,,,,,,,,
Who did Reuters claim won the 1915 Nobel prize in Physics?,Thomas Edison and Nikola Tesla,1,1,Thomas Edison and Nikola Tesla : Thomas Edison and Nikola Tesla : Thomas Edison and Nikola Tesla,,,,,,,,,,,,,,,,,,,,,,,,
Who actually won the prize?,Sir William Henry Bragg and William Lawrence Bragg,1,1,Sir William Henry Bragg and William Lawrence Bragg : Sir William Henry Bragg and William Lawrence Bragg : Sir William Henry Bragg and William Lawrence Bragg,,,,,,,,,,,,,,,,,,,,,,,,
What was the rumored reason Edison and Tesla were not awarded the prize?,:245,0,0,Tesla and/or Edison had refused the prize : Tesla and/or Edison had refused the prize : Tesla and/or Edison had refused the prize,,,,,,,,,,,,,,,,,,,,,,,,
According to the Nobel Foundation what has to happen before someone can decline a prize?,"refuse the reward is ridiculous""; a recipient could only decline a Nobel Prize after he is announced a winner",0,0,announced a winner : he is announced a winner : after he is announced a winner,,,,,,,,,,,,,,,,,,,,,,,,
What was another possible reason that Tesla and Edison did not get the award?.,their animosity toward each other,1,1,animosity toward each other : their animosity toward each other : because of their animosity toward each other,,,,,,,,,,,,,,,,,,,,,,,,
How many possible bids for the prize were there in 1915?,38,1,1,38:38:38,,,,,,,,,,,,,,,,,,,,,,,,
Who received a bid in 1915?,Tesla,0,0,Edison : Edison : Edison,,,,,,,,,,,,,,,,,,,,,,,,
In what year did Tesla receive a Nobel Prize bid?,1915,0,0,1937 : 1937 : 1937,,,,,,,,,,,,,,,,,,,,,,,,
What was the patent number for Tesla's final patent?,U.S. Patent 1 655 114,1,1,U.S. Patent 1,655,114:01:00,655,114:01:00,655,114,,,,,,,,,,,,,,,,,,
For what invention was U.S. Patent 1 655 114 granted?,a biplane,0,1,VTOL aircraft : VTOL aircraft : a biplane capable of taking off vertically,,,,,,,,,,,,,,,,,,,,,,,,
What was Tesla's belief as to the selling price of the biplane?,$1 000,0,1,less than $1,000 : less than $1,000 : less than $1,0,,,,,,,,,,,,,,,,,,,,,
What kind of engines did the biplane design have?,turbine,1,1,turbine engines : turbine engines : turbine,,,,,,,,,,,,,,,,,,,,,,,,
What was Tesla's salary from Westinghouse in 1934?,$125 ,0,1,$125 per month : $125 per month : $125 per month,,,,,,,,,,,,,,,,,,,,,,,,
What other compensation did Tesla get from Westinghouse?,Tesla's life,0,0,rent at the Hotel New Yorker : paying his rent : paying his rent at the Hotel New Yorker,,,,,,,,,,,,,,,,,,,,,,,,
For how long did Tesla receive this compensation?,$125 per month,0,0,for the rest of Tesla's life : the rest of Tesla's life. : the rest of Tesla's life,,,,,,,,,,,,,,,,,,,,,,,,
What was Westinghouse potentially trying to avoid by paying Tesla?,Tesla's life,0,0,bad publicity : bad publicity : potential bad publicity surrounding the impoverished conditions their former star inventor was living under,,,,,,,,,,,,,,,,,,,,,,,,
What did Tesla claim to be able to transmit?,mechanical energy,1,1,mechanical energy : mechanical energy : mechanical energy,,,,,,,,,,,,,,,,,,,,,,,,
How far did he claim the mechanical energy could be transmitted?,minimal loss over any terrestrial distance,0,0,over any terrestrial distance : any terrestrial distance : any terrestrial distance,,,,,,,,,,,,,,,,,,,,,,,,
How much energy loss did he expect would occur?,minimal loss over any terrestrial distance,0,0,minimal : minimal : minimal,,,,,,,,,,,,,,,,,,,,,,,,
What did he hope to locate underground?,mineral deposits,1,1,mineral deposits : mineral deposits : mineral deposits,,,,,,,,,,,,,,,,,,,,,,,,
When did Tesla make these claims?,1935,1,1,1935 : In 1935 : 1935,,,,,,,,,,,,,,,,,,,,,,,,
What was Tesla on his way to do when he was struck by the cab?,severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctorâ€”an almost lifelong custom). Tesla didn't raise any question as to who was at fault and refused medical aid  only asking to be taken to his hotel via cab. Tesla was bedridden for some months and was unable to continue feeding pigeons from his window,0,0,feed the pigeons : feed the pigeons : feed the pigeons,,,,,,,,,,,,,,,,,,,,,,,,
Who did Tesla refuse to see following the accident?,a doctor,1,1,a doctor : a doctor : a doctor,,,,,,,,,,,,,,,,,,,,,,,,
What happened to his ribs in the accident?,the full extent of his injuries will never be known,0,0,broken : broken : broken,,,,,,,,,,,,,,,,,,,,,,,,
When did he first get out of bed following the accident?,1938,0,1,early 1938 : In early 1938 : early 1938,,,,,,,,,,,,,,,,,,,,,,,,
When did the accident occur?,1937,0,1,the fall of 1937 : In the fall of 1937 : fall of 1937,,,,,,,,,,,,,,,,,,,,,,,,
What kind of weapon did Tesla talk about?,teleforce,1,1,teleforce weapon : teleforce : teleforce,,,,,,,,,,,,,,,,,,,,,,,,
What was he studying that gave him the teleforce weapon idea?,Van de Graaff generator,1,1,Van de Graaff generator : the Van de Graaff generator : the Van de Graaff generator,,,,,,,,,,,,,,,,,,,,,,,,
What ground based group did Tesla think the weapon could be used on?,infantry,1,1,infantry : infantry : infantry,,,,,,,,,,,,,,,,,,,,,,,,
What was another use for the weapon?,ground-based infantry,0,0,anti-aircraft purposes : anti-aircraft purposes : anti-aircraft purposes,,,,,,,,,,,,,,,,,,,,,,,,
Other than a peace-ray  what did reporters call the weapon?,peace ray,0,0,death ray : death ray : death ray,,,,,,,,,,,,,,,,,,,,,,,,
When did Tesla claim to have built the weapon?,1937,1,1,1937 : In 1937 : 1937,,,,,,,,,,,,,,,,,,,,,,,,
What was the occasion when he claimed he'd made the death ray?,But it is not an experiment ... I have built  demonstrated and used it,0,0,at a luncheon in his honor : a luncheon in his honor : a luncheon in his honor,,,,,,,,,,,,,,,,,,,,,,,,
Of what material were the death rays pellets made?,tungsten,1,1,tungsten : tungsten : tungsten,,,,,,,,,,,,,,,,,,,,,,,,
What was used to accelerate the tungsten pellets?,high voltage,1,1,high voltage : high voltage : high voltage,,,,,,,,,,,,,,,,,,,,,,,,
How much time did he claim had to pass before he gave the ray to the world?,little time,0,1,Only a little : a little : Only a little time,,,,,,,,,,,,,,,,,,,,,,,,
What kind of weapons did Tesla's treatise concern?,particle beam weapons,0,1,charged particle beam weapons : charged particle beam weapons : charged particle beam,,,,,,,,,,,,,,,,,,,,,,,,
Where can the Treatise be found?,Nikola Tesla Museum archive in Belgrade,0,0,Nikola Tesla Museum archive : the Nikola Tesla Museum archive : Nikola Tesla Museum,,,,,,,,,,,,,,,,,,,,,,,,
In what city is the Nikola Tesla Museum?,Belgrade,1,1,Belgrade : Belgrade : Belgrade,,,,,,,,,,,,,,,,,,,,,,,,
How many volts could particles be charged to in his weapon design?,millions,1,1,millions : millions : millions,,,,,,,,,,,,,,,,,,,,,,,,
What did he claim the weapon would end?,all war,1,1,all war : all war : all war,,,,,,,,,,,,,,,,,,,,,,,,
What was Tesla afraid someone was trying to do with his invention?,steal the invention,1,1,steal the invention : steal : steal,,,,,,,,,,,,,,,,,,,,,,,,
Where did he claim the blueprint was stored?,his mind,0,1,in his mind. : in his mind : all in his mind,,,,,,,,,,,,,,,,,,,,,,,,
According to Tesla what had been gone over by the thieves  or spies who entered his room?,empty-handed,0,0,his papers : his papers : his papers,,,,,,,,,,,,,,,,,,,,,,,,
How old was Tesla when he died?,86,1,1,86 : 86 : 86,,,,,,,,,,,,,,,,,,,,,,,,
What was the date of Tesla's death?,7-Jan-43,1,1,7 January 1943 : 7 January 1943 : 7 January 1943,,,,,,,,,,,,,,,,,,,,,,,,
Who first discovered his body?,maid Alice Monaghan,1,1,maid Alice Monaghan : maid Alice Monaghan : maid Alice Monaghan,,,,,,,,,,,,,,,,,,,,,,,,
What had been left hanging on the door to Tesla's room?,"maid Alice Monaghan after she had entered Tesla's room  ignoring the ""do not disturb",0,0,"do not disturb sign : do not disturb"" sign : ""do not disturb"" sign",,,,,,,,,,,,,,,,,,,,,,,,
What was given as the cause of death?,coronary thrombosis,1,1,coronary thrombosis : coronary thrombosis : coronary thrombosis,,,,,,,,,,,,,,,,,,,,,,,,
What happened to Tesla's belongings?,an American citizen,0,0,FBI ordered the Alien Property Custodian to seize Tesla's belongings : the FBI ordered the Alien Property Custodian to seize Tesla's belongings : Alien Property Custodian,,,,,,,,,,,,,,,,,,,,,,,,
Who analyzed Tesla's belongings?,Alien Property Custodian,0,0,John G. Trump : John G. Trump : John G. Trump,,,,,,,,,,,,,,,,,,,,,,,,
What did he find that could constitute a hazard?,Trump's report,0,0,nothing : nothing : nothing,,,,,,,,,,,,,,,,,,,,,,,,
To where were the belongings taken?,Alien Property Custodian,0,0,Manhattan Storage and Warehouse Company : Manhattan Storage and Warehouse Company : Manhattan Storage and Warehouse Company,,,,,,,,,,,,,,,,,,,,,,,,
Who gave Tesla's eulogy? ,Louis Adamic,0,0,New York City mayor Fiorello La Guardia : Fiorello La Guardia : New York City mayor Fiorello La Guardia,,,,,,,,,,,,,,,,,,,,,,,,
Who wrote the eulogy?,Louis Adamic,1,1,Louis Adamic : Louis Adamic : Slovene-American author Louis Adamic,,,,,,,,,,,,,,,,,,,,,,,,
What day was Tesla's funeral?,12-Jan,1,1,12 January : 12 January : 12 January,,,,,,,,,,,,,,,,,,,,,,,,
How many people attended the funeral?,two thousand,1,1,two thousand : two thousand : two thousand people,,,,,,,,,,,,,,,,,,,,,,,,
Where was the funeral held?,Ferncliff Cemetery in Ardsley  New York,0,0,the Cathedral of Saint John the Divine : the Cathedral of Saint John the Divine : the Cathedral of Saint John the Divine,,,,,,,,,,,,,,,,,,,,,,,,
Where was Tesla's property sent?,Belgrade,1,1,Belgrade : Belgrade : Belgrade,,,,,,,,,,,,,,,,,,,,,,,,
Who was Tesla's nephew?,Sava KosanoviÄ‡,1,1,Sava KosanoviÄ‡ : Sava KosanoviÄ‡ : Sava KosanoviÄ‡,,,,,,,,,,,,,,,,,,,,,,,,
Who transported Tesla's ashes from the US.,Charlotte Muzar,1,1,Charlotte Muzar : Charlotte Muzar : Charlotte Muzar,,,,,,,,,,,,,,,,,,,,,,,,
Where were the ashes sent?,Nikola Tesla Museum,0,0,Belgrade : Belgrade : Belgrade,,,,,,,,,,,,,,,,,,,,,,,,
When are the ashes now?,1957,0,0,Nikola Tesla Museum : the Nikola Tesla Museum : the Nikola Tesla Museum,,,,,,,,,,,,,,,,,,,,,,,,
What was the total number of patents that Tesla had?,278,0,0,around 300 : around 300 : around 300,,,,,,,,,,,,,,,,,,,,,,,,
In how many countries did Tesla hold patents?,26,1,1,26:26:26,,,,,,,,,,,,,,,,,,,,,,,,
Other than the US and Britain what was the other main country that Tesla had patents granted?,Canada,1,1,Canada : Canada : Canada,,,,,,,,,,,,,,,,,,,,,,,,
 Where were missing patents later found?,United States  Britain  and Canada,0,0,patent archives : patent archives : patent archives,,,,,,,,,,,,,,,,,,,,,,,,
At what time did Tesla get dinner?,8:10 p.m.,0,1,8:10 p.m : 8:10 p.m : exactly 8:10 p.m.,,,,,,,,,,,,,,,,,,,,,,,,
Before dinner what were Tesla's working hours?,8:10 p.m.,0,0,9:00 a.m. until 6:00 p.m. or later : 9:00 a.m. until 6:00 p.m : 9:00 a.m. until 6:00 p.m. or later,,,,,,,,,,,,,,,,,,,,,,,,
On some nights how late did Tesla work until?,6:00 p.m.,0,0,3:00 a.m : 3:00 a.m : 3:00 a.m,,,,,,,,,,,,,,,,,,,,,,,,
Who served his dinner?,Tesla,0,0,headwaiter : the headwaiter : the headwaiter,,,,,,,,,,,,,,,,,,,,,,,,
What was the daily distance walked by Tesla?,8 to 10 miles per day,0,1,between 8 to 10 miles per day : 8 to 10 miles : 8 to 10 miles,,,,,,,,,,,,,,,,,,,,,,,,
Why did he walk?,it stimulated his brain cells,0,0,exercise : For exercise : exercise,,,,,,,,,,,,,,,,,,,,,,,,
What did he do to his feet at night?,squished his toes one hundred times,0,1,squished his toes : squished his toes : squished his toes one hundred times for each foot,,,,,,,,,,,,,,,,,,,,,,,,
What was he hoping to stimulate with the toe squishing?,brain cells,1,1,brain cells : brain cells : brain cells,,,,,,,,,,,,,,,,,,,,,,,,
What did Tesla tell Brisbane he didn't believe in?,telepathy,1,1,telepathy : telepathy : telepathy,,,,,,,,,,,,,,,,,,,,,,,,
What was Brisbane's job?,newspaper editor,1,1,newspaper editor : newspaper editor : newspaper editor,,,,,,,,,,,,,,,,,,,,,,,,
Down to how many laws did Tesla believe the fundamental laws could be reduced?,one,1,1,one : one : one,,,,,,,,,,,,,,,,,,,,,,,,
What animals did Tesla care for?,pigeons,1,1,pigeons : pigeons : pigeons,,,,,,,,,,,,,,,,,,,,,,,,
How much did Tesla spend on the injured pigeon?,over $2 000,1,1,over $2,000 : over $2,0, : over $2,0,,,,,,,,,,,,,,,,,,,,
